	1	10	12	13	17	19	2	20	21	25	26	3	6	7	8
1	0.0	0.8943	0.8447	0.9807	0.9595	0.8678	0.8147	0.9814	0.7799	0.8493	0.9803	0.8921	0.8676	0.8739	0.8926
10	0.8943	0.0	0.858	0.997	0.9922	0.8633	0.8079	0.9876	0.8455	0.9283	0.9924	0.9016	0.7738	0.8562	0.8986
12	0.8447	0.858	0.0	0.974	0.9524	0.8388	0.8472	0.9812	0.8524	0.9004	0.9841	0.8593	0.7858	0.8217	0.9129
13	0.9807	0.997	0.974	0.0	0.4444	0.9793	0.9824	0.6243	0.9265	0.7272	0.8802	0.9656	0.9765	0.9674	0.7499
17	0.9595	0.9922	0.9524	0.4444	0.0	0.9706	0.9744	0.6131	0.878	0.6911	0.8696	0.9262	0.974	0.9548	0.7172
19	0.8678	0.8633	0.8388	0.9793	0.9706	0.0	0.8889	0.9767	0.8631	0.9209	0.9796	0.9405	0.8165	0.7732	0.9158
2	0.8147	0.8079	0.8472	0.9824	0.9744	0.8889	0.0	0.9753	0.8469	0.8761	0.9817	0.8489	0.775	0.857	0.9098
20	0.9814	0.9876	0.9812	0.6243	0.6131	0.9767	0.9753	0.0	0.9035	0.7477	0.8635	0.9416	0.9819	0.9698	0.7874
21	0.7799	0.8455	0.8524	0.9265	0.878	0.8631	0.8469	0.9035	0.0	0.7857	0.9075	0.8658	0.8958	0.8263	0.789
25	0.8493	0.9283	0.9004	0.7272	0.6911	0.9209	0.8761	0.7477	0.7857	0.0	0.8695	0.9004	0.9324	0.8865	0.6268
26	0.9803	0.9924	0.9841	0.8802	0.8696	0.9796	0.9817	0.8635	0.9075	0.8695	0.0	0.9684	0.9838	0.9658	0.846
3	0.8921	0.9016	0.8593	0.9656	0.9262	0.9405	0.8489	0.9416	0.8658	0.9004	0.9684	0.0	0.9227	0.7998	0.9114
6	0.8676	0.7738	0.7858	0.9765	0.974	0.8165	0.775	0.9819	0.8958	0.9324	0.9838	0.9227	0.0	0.8298	0.9323
7	0.8739	0.8562	0.8217	0.9674	0.9548	0.7732	0.857	0.9698	0.8263	0.8865	0.9658	0.7998	0.8298	0.0	0.8877
8	0.8926	0.8986	0.9129	0.7499	0.7172	0.9158	0.9098	0.7874	0.789	0.6268	0.846	0.9114	0.9323	0.8877	0.0
